"name","description","description_url","company","position","salary","location"
"Associate Business Development Manager / Senior Business Development Executive","Associate Business Development Manager / Senior Business Development Executive","http://hk.justjob.com/full/hk/job/view/113643/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nPrice.com.hk Limited","職位\n營銷 - 一般 / 支持","薪金\n面議","工作地點\n觀塘區"
"新媒体运营专员","新媒体广告营销运营专员","http://hk.justjob.com/full/hk/job/view/109874/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nHonest Hui Tech LTD","職位\n營銷 - 營銷傳播","薪金\nHKD 12,000.00 〜 15,000.00 / 月薪","工作地點\n油尖旺區 - 尖東站步行5分"
"營業代表","譽高給您展現才華的舞台","http://hk.justjob.com/full/hk/job/view/113642/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEagle Development (Holdings) Company Limited","職位\n營銷 - 直接營銷","薪金\nHKD 8,000.00 〜 9,500.00 / 月薪","工作地點\n荃灣區 - 大窩口站步行10分"
"Corporate Account Specialist","Corporate Account Specialist","http://hk.justjob.com/full/hk/job/view/113624/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 品牌 / 產品管理","薪金\n面議","工作地點\n其他"
"學習及發展顧問 (月薪可達$20K或以上)","學習及發展顧問 (月薪可達$20K或以上)","http://hk.justjob.com/full/hk/job/view/113621/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 直接營銷","薪金\n面議","工作地點\n其他"
"課程銷售顧問 (月薪可達$30K或以上)","課程銷售顧問 (月薪可達$30K或以上)","http://hk.justjob.com/full/hk/job/view/113620/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 直接營銷","薪金\n面議","工作地點\n其他"
"市場推廣助理","市場推廣助理","http://hk.justjob.com/full/hk/job/view/113611/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nUNISKY INTERNATIONAL (HK) LIMITED","職位\n管理","薪金\nHKD 23,000.00 以上 / 月薪","工作地點\n油尖旺區 - 旺角"
"學習及發展顧問 (月薪可達$20K或以上)","學習及發展顧問 (月薪可達$20K或以上)","http://hk.justjob.com/full/hk/job/view/113607/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 直接營銷","薪金\n面議","工作地點\n其他"
"市場推廣經理","市場推廣經理","http://hk.justjob.com/full/hk/job/view/113593/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nUNISKY INTERNATIONAL (HK) LIMITED","職位\n管理","薪金\nHKD 17,500.00 以上 / 月薪","工作地點\n油尖旺區 - 旺角"
"Corporate Account Specialist","Corporate Account Specialist","http://hk.justjob.com/full/hk/job/view/113590/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 品牌 / 產品管理","薪金\n面議","工作地點\n其他"
"學習及發展顧問 (月薪可達$20K或以上)","學習及發展顧問 (月薪可達$20K或以上)","http://hk.justjob.com/full/hk/job/view/113588/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 直接營銷","薪金\n面議","工作地點\n其他"
"Corporate Account Specialist","Corporate Account Specialist","http://hk.justjob.com/full/hk/job/view/113558/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 品牌 / 產品管理","薪金\n面議","工作地點\n其他"
"Direct Sales - 戶外推銷員 / 店鋪銷售員 (汽車美容)","優厚佣金勤工獎, 在職陪訓","http://hk.justjob.com/full/hk/job/view/113538/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nGOGO WASH HOLDINGS COMPANY LIMITED","職位\n營銷 - 直接營銷","薪金\nHKD 20,000.00 〜 60,000.00 / 月薪","工作地點\n深水埗區 - 荔枝角站步行3分"
"Corporate Account Specialist","Corporate Account Specialist","http://hk.justjob.com/full/hk/job/view/113513/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 品牌 / 產品管理","薪金\nHKD 12,000.00 〜 30,000.00 / 月薪","工作地點\n其他"
"課程銷售顧問 (月薪可達$30K或以上)","課程銷售顧問 (月薪可達$30K或以上)","http://hk.justjob.com/full/hk/job/view/113501/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 直接營銷","薪金\n面議","工作地點\n其他"
"EF English Centers大量職位招聘 (新人獎金高達$5,000)","EF English Centers大量職位招聘 (新人獎金高達$5,000)","http://hk.justjob.com/full/hk/job/view/113502/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 直接營銷","薪金\n面議","工作地點\n其他"
"Corporate Account Specialist","Corporate Account Specialist","http://hk.justjob.com/full/hk/job/view/113503/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 品牌 / 產品管理","薪金\n面議","工作地點\n其他"
"課程銷售顧問 (月薪可達$30K或以上)","課程銷售顧問 (月薪可達$30K或以上)","http://hk.justjob.com/full/hk/job/view/113459/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nEF Language Solutions Hong Kong Limited - EF English Centers","職位\n營銷 - 直接營銷","薪金\nHKD 12,000.00 〜 30,000.00 / 月薪","工作地點\n其他"
"Business Development Executive/ Senior Business Development Executive","On-job training provided/ welcome University Graduates/ Career in Business Development","http://hk.justjob.com/full/hk/job/view/113421/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=en","公司名\nGenNex Financial Media Limited","職位\n營銷 - 一般 / 支持","薪金\n面議","工作地點\n中西區 - 中環"
"Japanese Speaking Sales Coordinator","5 days work with good career prospect","http://hk.justjob.com/full/hk/job/view/107462/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=en","公司名\nDong Rong Electronics Co., Ltd.","職位\n營銷 - 一般 / 支持","薪金\n面議","工作地點\n油尖旺區 - 旺角站步行10分"
"問卷調查員, 接待員, 活動助理, 營業代表","2016銷售人才招聘","http://hk.justjob.com/full/hk/job/view/103679/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nICAN CONSULT","職位\n營銷 - 直接營銷","薪金\n面議","工作地點\n灣仔區 - 天后站步行5分"
"Student Ambassador","Perform planning, organising and executing different outreach activities for students or public to promote energy saving & efficiency","http://hk.justjob.com/full/hk/job/view/103641/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=en","公司名\nGlobal Executive Consultants Ltd.","職位\n公關 - 事件管理","薪金\nHKD 13,000.00 〜 18,500.00 / 月薪","工作地點\n東區 - 上環"
"Sales","Top Sales Recruit","http://hk.justjob.com/full/hk/job/view/103506/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nMint & Lemongrass","職位\n營銷 - 直接營銷","薪金\n面議","工作地點\n中西區 - 中環站步行10分"
"Marketing Assistant/Officer, Customer Management","Support daily marketing campaigns and projects in retail banking","http://hk.justjob.com/full/hk/job/view/103131/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=en","公司名\nGlobal Executive Consultants Ltd.","職位\n營銷 - 直接營銷","薪金\nHKD 15,000.00 〜 20,000.00 / 月薪","工作地點\n東區 - 上環"
"市場業務員","開拓國際市場,與全球接軌","http://hk.justjob.com/full/hk/job/view/103410/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nwinton international material limited","職位\n營銷 - 直接營銷","薪金\nHKD 11,000.00 〜 18,000.00 / 月薪","工作地點\n九龍城區 - 紅磡站步行10分"
"推廣專員 , 銷售員","招聘: 推廣專員 sale 全職 及 兼職","http://hk.justjob.com/full/hk/job/view/103370/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\n富嘉國際公司","職位\n營銷 - 直接營銷","薪金\n面議","工作地點\n葵青區 - 葵芳站步行5分"
"Marketing Assistant","Support marketing campaigns & projects and daily admin & operations duties","http://hk.justjob.com/full/hk/job/view/103260/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=en","公司名\nGlobal Executive Consultants Ltd.","職位\n營銷 - 一般 / 支持","薪金\nHKD 15,000.00 〜 20,000.00 / 月薪","工作地點\n東區 - 上環"
"Merchandiser","有公司培訓","http://hk.justjob.com/full/hk/job/view/103178/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nHarbin Linen mill(H.K.) Co., Ltd","職位\n營銷 - 營銷傳播","薪金\nHKD 10,000.00 〜 13,000.00 / 月薪","工作地點\n觀塘區 - 觀塘"
