"name","description","description_url","company","position","salary","location"
"連鎖名店招聘","店舖經理/店長/店員 (品牌手錶/時裝) 15K-25K","http://hk.justjob.com/full/hk/job/view/104985/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nStreamline Consultancy Ltd","職位\n營銷 - 品牌 / 產品管理","薪金\nHKD 15,000.00 〜 25,000.00 / 月薪","工作地點\n香港島 - 金鐘站步行5分"
"Assistant Manager / Manager, Public Relations & Communication","Develop the regional corporate news, press release, letters, etc. and broadcasting to different countries","http://hk.justjob.com/full/hk/job/view/104974/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=en","公司名\nGlobal Executive Consultants Ltd.","職位\n公關 - 文案寫作","薪金\nHKD 30,000.00 〜 40,000.00 / 月薪","工作地點\n東區 - 上環"
"Assistant Manager, Corporate Communication / Public Relations","Support the development and execution of PR & Communications strategy","http://hk.justjob.com/full/hk/job/view/104954/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=en","公司名\nGlobal Executive Consultants Ltd.","職位\n營銷 - 營銷傳播","薪金\nHKD 25,000.00 〜 35,000.00 / 月薪","工作地點\n東區 - 上環"
"Digital Marketing Analyst","Pan-Asia Management consulting, Supporting startups and Large caps across, multiple functions and ownership of projects","http://hk.justjob.com/full/hk/job/view/104847/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=en","公司名\nYCP Hong Kong","職位\n管理","薪金\nHKD 20,000.00 〜 30,000.00 / 月薪","工作地點\n中西區 - 中環站步行1分"
"Senior Executive / Executive, Sales & Marketing","Assist in developing the business plans/sales strategies to help further establish Company brand within target markets","http://hk.justjob.com/full/hk/job/view/104440/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nGlobal Executive Consultants Ltd.","職位\n營銷 - 品牌 / 產品管理","薪金\nHKD 15,000.00 〜 21,000.00 / 月薪","工作地點\n東區 - 上環"
"Sales and Marketing Executive","Sales and Marketing Executive","http://hk.justjob.com/full/hk/job/view/104385/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=en","公司名\nHong Kong Yachting","職位\n營銷 - 品牌 / 產品管理","薪金\n面議","工作地點\n南區"
"Sales & Marketing Executive","Handle the daily marketing duties and actively involved in the daily Trading Activities of the company","http://hk.justjob.com/full/hk/job/view/104367/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nGlobal Executive Consultants Ltd.","職位\n營銷 - 品牌 / 產品管理","薪金\nHKD 15,000.00 〜 20,000.00 / 月薪","工作地點\n東區 - 上環"
"Part Time Marketing Trainee","• 鄰近金鐘地鐵站，主要負責eDM, database management • 每星期最少三天工作，10am-7pm任選四小時工作(可議)","http://hk.justjob.com/full/hk/job/view/104285/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\nBGC Group","職位\n營銷 - 市場調研","薪金\n面議","工作地點\n中西區 - 金鐘站步行5分"
"營業代表","荃灣食品公司","http://hk.justjob.com/full/hk/job/view/104226/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\n丸和日式食品有限公司","職位\n營銷 - 營銷傳播","薪金\nHKD 7,000.00 以上 / 月薪","工作地點\n荃灣區 - 荃灣西站步行10分"
"外贸/贸易专员","本公司預計成為龍昌集團國際投資業務總部，建構海外營運中心。现需要招聘有业务经验的贸易人才。","http://hk.justjob.com/full/hk/job/view/103997/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=hk","公司名\n香港华龙实业（新加坡）控股有限公司","職位\n營銷 - 品牌 / 產品管理","薪金\n面議","工作地點\n中西區 - 金鐘站步行3分"
"Corporate Planning (Sales and Marketing Support)","Well Developing company and provide you long career prospective","http://hk.justjob.com/full/hk/job/view/103529/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=en","公司名\nCA Human Resource Limited","職位\n營銷 - 一般 / 支持","薪金\nHKD 15,000.00 〜 20,000.00 / 月薪","工作地點\n油尖旺區 - 尖沙咀"
"Assistant Digital Marketing Manager","Attractive remuneration package","http://hk.justjob.com/full/hk/job/view/103329/0UAGVfaMFnH8IYWOydEtvOkuWiSvKtQ5dT9SLXpRM6DEMdBjrN11B8PCs8NCiqMN?lang=en","公司名\nCA Human Resource Limited","職位\n營銷 - 直接營銷","薪金\nHKD 35,000.00 〜 40,000.00 / 月薪","工作地點\n油尖旺區 - 尖沙咀"
